3;WHICH MARRIED COUPLE DID HOMER|FALL THROUGH THE ROOF ONTO|AFTER TRYING TO PARA-SAIL?;JESSICA SIMPSON|AND NICK LACHEY;MADONNA AND GUY|RITCHIE;ALEC BALDWIN AND|KIM BASSINGER;ELTON JOHN AND|DAVID FURNISH;page01;04-TheCelebsoftheTheSimpsons.csv
2;WHICH FAMOUS CELEB WAS LOCKED|IN A DOG CARRIER?;BRAD PITT;ELTON JOHN;LIONEL RICHIE;TONY BENNETT;page01;04-TheCelebsoftheTheSimpsons.csv
1;WHO WANTS TO TAKE HOMER'S|CENTER SQUARE ON THE|SPRINGFIELD SQUARES SHOW?;RON HOWARD;LIZ TAYLOR;MATT DAMON;ALEC BALDWIN;page01;04-TheCelebsoftheTheSimpsons.csv
2;WHICH GENIUS SAVES LISA FROM|THE MOBS OF PEOPLE WHEN THEY|RALLY AGAINST SMART PEOPLE?;BILL GATES;DR. STEPHEN|HAWKING;AL GORE;ALBERT EINSTEIN;page01;04-TheCelebsoftheTheSimpsons.csv
4;WHICH PSYCHO KIDNAPPED LUCY|LAWLESS?;THE SAVER;THE FINDER;THE SCAVENGER;THE COLLECTOR;page01;04-TheCelebsoftheTheSimpsons.csv
1;WHAT IS THE NAME OF THE|CHARACTER THAT LISA KUDROW|FROM FRIENDS PLAYS?;ALEX;ALEXIS;ALEXIA;ALEXANDRA;page01;04-TheCelebsoftheTheSimpsons.csv
1;WHOSE FUNERAL DOES BOB NEWHART|SPEAK AT?;KRUSTY THE CLOWN;FRANK "GRIMEY"|GRIMES;BLEEDING GUMS|MURPHY;DR. MARVIN MONROE;page01;04-TheCelebsoftheTheSimpsons.csv
4;WHO PLAYED GRANDMA SIMPSON?;SUSAN SARANDON;MERYL STREEP;BARBRA STREISAND;GLENN CLOSE;page01;04-TheCelebsoftheTheSimpsons.csv
3;JEFF GOLDBLUM PLAYED MAC|ARTHUR PARKER WHO IS THE AGENT|FOR WHICH STAR?;KENT BROCKMAN;ARNIE PIE;TROY MC CLURE;BUMBLEBEE MAN;page01;04-TheCelebsoftheTheSimpsons.csv
4;WHO KIDNAPS TOM JONES?;HOMER SIMPSON;MOE SZYSLAK;SIDESHOW MEL;CHARLES|MONTGOMERY BURNS;page01;04-TheCelebsoftheTheSimpsons.csv
3;WHAT BOOK DOES LARRY KING READ|TO HOMER?;RICH DAD, POOR|DAD;HARRY POTTER;THE BIBLE;FATHERHOOD BY|BILL COSBY;page01;04-TheCelebsoftheTheSimpsons.csv
4;WHICH STAR PLAYED THE TEACHER|LISA HAD A CRUSH ON?;TOM SELLECK;MEL GIBSON;TOM CRUISE;DUSTIN HOFFMAN;page01;04-TheCelebsoftheTheSimpsons.csv
4;AT WHOSE BIRTHDAY DO WE SEE|THE RAMONES?;BART SIMPSONS;MR. SMITHERS;KRUSTY THE CLOWN;CHARLES|MONTGOMERY BURNS;page01;04-TheCelebsoftheTheSimpsons.csv
2;WHICH KIWI ACTOR PLAYED THE|SPRINGFIELD CAT BURGLAR?;TEMUERA MORRISON;SAM NEIL;SIR EDMOND|HILLARY;FRED DAGG;page01;04-TheCelebsoftheTheSimpsons.csv
1;THE PERSON WHO PLAYED THE|LEADER OF THE STONECUTTERS|ALSO COMMANDED...?;THE ENTERPRISE;THE DISCOVERY;THE EXPLORER;THE ADVENTURER;page01;04-TheCelebsoftheTheSimpsons.csv
4;WHO WAS HOMER'S FIRST CUSTOMER|AS A LIMO DRIVER?;MEL GIBSON;MEL C;MEL B;MEL BROOKS;page01;04-TheCelebsoftheTheSimpsons.csv
1;WHICH SINGING SUPERSTAR KILLED|THE OLDEST MAN IN SPRINGFIELD?;BRITTANY SPEARS;MISSY ELLIOT;GWEN STEFFANI;LILY ALLEN;page01;04-TheCelebsoftheTheSimpsons.csv
3;WHAT DOES SUSAN SARANDON TEACH|BART TO DO?;MATHS;ICE HOCKEY;BALLET;ROLLING SPITBALLS;page01;04-TheCelebsoftheTheSimpsons.csv
3;WHO HAS TRIED MANY TIMES TO|KILL BART?;SIDESHOW MEL;KRUSTY THE CLOWN;SIDESHOW BOB;NED FLANDERS;page01;05-TheBestEverSimpsonsQuiz.csv
1;WHAT DOES LIONEL HUTZ WORK AS?;LAWYER;LOLLIPOP MAN;ICE CREAM MAN;BARTENDER;page01;05-TheBestEverSimpsonsQuiz.csv
4;IN SHELBYVILLE WHAT IS THE|NAME OF THE BAR?;MOE'S TAVERN;JOE'S BAR;MOE'S BAR;JOE'S TAVERN;page01;05-TheBestEverSimpsonsQuiz.csv
2;WHERE DOES BART MAKE A PRANK|CALL TO?;CANADA;AUSTRALIA;JAPAN;FRANCE;page01;05-TheBestEverSimpsonsQuiz.csv
1;WHAT REED SIZE DOES LISA NEED|FOR HER RECITAL?;FOUR AND A HALF|REED;SIX REED;THREE QUARTERS'|REED;NINE REED;page01;05-TheBestEverSimpsonsQuiz.csv
4;WHAT IS MAGGIE'S FIRST WORD?;MUMMY;BART;GRAMPA;DADDY;page01;05-TheBestEverSimpsonsQuiz.csv
3;WHO WEARS A PURPLE BEENIE?;NELSON;RALPH;JIMBO;MOE;page01;05-TheBestEverSimpsonsQuiz.csv
2;WHAT IS THE HORRIBLE TOY AT|CHRISTMAS CALLED?;FURBIE;FUNZO;HERBIE;KRUSTY DOLL;page01;05-TheBestEverSimpsonsQuiz.csv
1;WHO IS THE NEWS REPORTER FOR|CHANNEL SIX?;KENT BROCKMAN;BUMBLEBEE MAN;KRUSTY;HOMER;page01;05-TheBestEverSimpsonsQuiz.csv
