3;WHAT IS THE SIMPSONS ADDRESS?;1042 EVERGREEN|TERRACE;724 EVERGREEN|TERRACE;742 EVERGREEN|TERRACE;1024 EVERGREEN|TERRACE;page01;09-LittleDetailsoftheSimpsons.csv
2;WHAT IS COMIC BOOK GUY'S REAL|NAME?;FRED MONTGOMERY;JEFF ALBERTSON;HANK JOHNSON;HIS REAL NAME HAS|NEVER BEEN SAID;page01;09-LittleDetailsoftheSimpsons.csv
1;HOW MANY WARS WAS GRAMPA|SIMPSON IN?;2;1;0;3;page01;09-LittleDetailsoftheSimpsons.csv
4;WHAT WAS HOMER'S NAME ON HIS|FAKE I. D. HE HAD AS A|TEENAGER?;MAX POWER;REMBRANDT Q.|EINSTEIN;HOMER SANCHEZ;BRIAN MC GEE;page01;09-LittleDetailsoftheSimpsons.csv
3;WHAT IS THE NAME OF THE|JAPANESE BUSINESSMAN DOING|KARAOKE AT A JAPANESE BAR?;HIRO NAKAMURA;JOHNNY SAKURA;RICHIE SAKAI;FREDDY CHANG;page01;09-LittleDetailsoftheSimpsons.csv
1;WHAT IS THE NAME OF HOMER'S|HELPER MONKEY?;MOJO;MR. TEENY;FURIOUS GEORGE;SNOWBALL;page01;09-LittleDetailsoftheSimpsons.csv
4;WHAT IS HOMER'S NORMAL WEIGHT?;269;231;255;239;page01;09-LittleDetailsoftheSimpsons.csv
4;YIDDLES IS A STORE THAT SELLS|MAGIC TRICKS, PRANKS, MEDICAL|SUPPLIES OR ALL THREE?;MAGIC TRICKS;PRANKS;MEDICAL SUPPLIES;ALL OF THE ABOVE;page01;13-HardestSimpsonsQuizEver.csv
2;DR. MARVIN MONROE'S FAMILY|THERAPY CENTER OFFERS FAMILY|BLISS OR WHAT BACK?;GET THE HELL OUT;DOUBLE YOUR MONEY;NO REFUNDS;ANGER MEDICATION;page01;13-HardestSimpsonsQuizEver.csv
3;IN "THIS LITTLE WIGGY"|EPISODE, BART AND RALPH VISIT|A TOY STORE OF WHAT NAME?;FUNNY FRANKS;TOY UNIVERSE;J.R.R TOYKINS;TOYS-R-KINDA-US;page01;13-HardestSimpsonsQuizEver.csv
3;WHICH ONE OF THESE DOGS DID|SANTA'S LITTLE HELPER NOT RACE|AGAINST?;FIDO;DOG O' WAR;REX;CHEW MY SHOE;page01;13-HardestSimpsonsQuizEver.csv
4;SANTA'S LITTLE HELPER MATES|WITH A GREYHOUND AND GETS HOW|MANY PUPPIES?;23;20;27;25;page01;13-HardestSimpsonsQuizEver.csv
2;WHAT IS THE NAME OF KRUSTY THE|CLOWN'S MONKEY ASSISTANT?;MR. TEEMU;MR. TEENY;MR. TETLEY;MR. TENKO;page01;14-TheSimpsonsandFriendsQuiz.csv
2;WHEN HE GETS OLDER, BART WANTS|TO CHANGE HIS NAME TO WHAT?;JOHN MC SPEEDY;STEVE MC COOL;PHIL MC FABULOUS;MAX POWER;page01;14-TheSimpsonsandFriendsQuiz.csv
3;WHAT IS THE TITLE OF BLEEDING|GUMS MURPHY'S ONLY ALBUM?;SAX ON THE MIND;SAX A MO PHONE;SAX ON THE BEACH;SAX ME UP;page01;14-TheSimpsonsandFriendsQuiz.csv
2;WHAT IS THE NAME ON FRANK|GRIMES HEADSTONE?;FRANK GRIMES;FRANK "GRIMEY"|GRIMES;FRANK GRIMES SR.;MR. FRANK GRIMES;page01;14-TheSimpsonsandFriendsQuiz.csv
2;WHO REFERS TO MOE AS "CURLY"?;MR. BURNS;REX BANNER;RENEE;AEROSMITH;page01;14-TheSimpsonsandFriendsQuiz.csv
2;WHAT SIDE OF TOWN IS COOKIE|KWAN'S PATCH?;EAST SIDE;WEST SIDE;SOUTH SIDE;NORTH SIDE;page01;14-TheSimpsonsandFriendsQuiz.csv
