2;HOW OLD IS NED FLANDERS?;55;60;38;19;page01;05-TheBestEverSimpsonsQuiz.csv
2;WHAT AGE RANGE IS HOMER KNOWN|TO BE IN?;32-35;36-40;41-44;45-48;page01;05-TheBestEverSimpsonsQuiz.csv
3;WHO HAS TRIED MANY TIMES TO|KILL BART?;SIDESHOW MEL;KRUSTY THE CLOWN;SIDESHOW BOB;NED FLANDERS;page01;05-TheBestEverSimpsonsQuiz.csv
\\0;
1;WHAT DOES LIONEL HUTZ WORK AS?;LAWYER;LOLLIPOP MAN;ICE CREAM MAN;BARTENDER;page01;05-TheBestEverSimpsonsQuiz.csv
4;IN SHELBYVILLE WHAT IS THE|NAME OF THE BAR?;MOE'S TAVERN;JOE'S BAR;MOE'S BAR;JOE'S TAVERN;page01;05-TheBestEverSimpsonsQuiz.csv
\\0;
2;WHERE DOES BART MAKE A PRANK|CALL TO?;CANADA;AUSTRALIA;JAPAN;FRANCE;page01;05-TheBestEverSimpsonsQuiz.csv
\\0;
1;WHAT REED SIZE DOES LISA NEED|FOR HER RECITAL?;FOUR AND A HALF|REED;SIX REED;THREE QUARTERS'|REED;NINE REED;page01;05-TheBestEverSimpsonsQuiz.csv
4;WHAT IS MAGGIE'S FIRST WORD?;MUMMY;BART;GRAMPA;DADDY;page01;05-TheBestEverSimpsonsQuiz.csv
3;WHO WEARS A PURPLE BEENIE?;NELSON;RALPH;JIMBO;MOE;page01;05-TheBestEverSimpsonsQuiz.csv
2;WHAT IS THE HORRIBLE TOY AT|CHRISTMAS CALLED?;FURBIE;FUNZO;HERBIE;KRUSTY DOLL;page01;05-TheBestEverSimpsonsQuiz.csv
1;WHO IS THE NEWS REPORTER FOR|CHANNEL SIX?;KENT BROCKMAN;BUMBLEBEE MAN;KRUSTY;HOMER;page01;05-TheBestEverSimpsonsQuiz.csv
4;WHAT IS ARNIE PIE'S JOB?;CLOWN;BULLY;PRINCIPLE;TRAFFIC REPORTER;page01;05-TheBestEverSimpsonsQuiz.csv
3;WHAT IS THE RANCH THAT MARGE|GOES TO CALLED?;RANCH LOVE;RANCH REST;RANCHO RELAXO;RELAXO RELAXO;page01;05-TheBestEverSimpsonsQuiz.csv
