LUCHLADY DORIS, HAVE YE GOT|ANY GREASE? YES, YES WE DO.;THEN WHAT ARE YA|WAITIN FOR|WOMAN?!;THEN GREASE ME UP|WOMAN!;SO GREASE ME UP|THEN!;WHY DONT YOU|GREASE ME UP|THEN?!
SO THATS HOW WITH SOME MINOR|ADJUSTMENTS YOU CAN ONE GUN...;INTO A MACHINE|GUN;INTO TWO GUNS;INTO FIVE GUNS;INTO A BOMB
\\ILL KIDNAP HIM FOR 50,|DEPROGRAM HIIM FOR 100, AD|KILL HIM FOR 500. (WILLIE) NO,|NO, JUST THE FIRST TWO.|(MARGE);ALRIGHT, THEN ILL|THROW IN THE|KILLING THE FOR|FREE.;AWW NO KILLING?;AH IN SCOTLAND WE|ALWAYS KILL THEM|ANYWAY.;AH WOMAN, YA|DDONT KNOW WHAT|YOUR TALKING|ABOUT.
\\THE PLANT CALLED AND SAID IF|YOU DONT CCOME IN TOMORROW|DONT BOTHER COMING IN MONDAAY.|(MARGE);WUHOO, TWO DAYS|OFF!;WUHOO, I DONT|NEED THAT JOB|ANYWAY.;YESSS,,,,|EXCELLENT,,,THNK|YOU GOD.;WUHOOK FOUR DAAY|WEEKEND!
\\THERES NO SUCH THING AS|SCOTCHTOBER FEST. (PRINCIPAL|SKINNER);THERES NOT? YA|LIED SKINNER, YA|LIED TO ME!;THERE IS SKINNER,|THERE IS!;THERES NOT? YA|USED MME SKINNER,|YA USED ME!;THERES NOT? HOW|COULD YOU|SKINNER? HOOW|COOULD YOU?!!
(LIONEL HUTZ) CARE TO JOOIN IN|A DRINK OF SCOTCH? (MARGE) ITS|9.30 IN THE MORNING!;YA BUT I BEEN UP|ALL NIGHT;YA BUT I DONT|SLEEP WELL.;YA BUT I HAVENT|SLEPT FOR DAYS.;YA BUT IM AN|ALCOHOIC.
DONT CHASE ME...(UTER);IM  FULL OF FOOD!;IM FULL OF|SWEETS!;IM FULL OF|CHOCOLATE!;IM FULL OF|SHNITZEL!
SEMOR, THE HOUSE IS ON FIRE!;NO MOTHER, ITS|JUST YOUR|IMAGINATION.;NO MOTHER, ITS|JUST THE|AURORABORIALIS.;NO MOTHER, ITS|JUST THE NORTHERN|LIGHTS.;NO MOTHER, ITS|JUST MY NEW ALARM|CLOCK.
IM NOT PRINCIPAL  OF  THE LINE|MOTHERR (SKINNER);I KNOW YOUR YOUR|NOOT.;AND YOU NEVER|WILL  BE.;AND WHOSE FAULT|IS THAT?;YOU DONT NEED TO|TELL ME!
\\THE STUDENTS ARE OVER|STIMULATED. WILLIE, REMOVE ALL|THE CCOLOURED CHALK FRO THE|CLASSS RROM. (SKINNER) I|WARNNED YA. DIDNT I WARN YA...|(WILLIE);THAT COLOURED|CHALK WOULD ONLY|ENND IN TROUBLE!;THAT COLOURED|CHALK WAS CRAFTED|BY THE DEVIL|HIMISELF!;THAT COLOURED|CHALK WAS FORGED|BY LUCIIFER|HIMSELF.;THAT COLOURED|CHALK WAS FORGED|BY THE ENEMIES OF|SCOTLAND YEARS|AGO!
