4;CLUE: "WAZZZ-ZUUUUP!";NELSON MUNTZ;TERI;TODD FLANDERS;MILHOUSE VAN|HOUTEN;page02;08-22ShortQuestionsAboutSpringfield.csv
2;CLUE: HIRED HOMER TO COMMIT A|CRIME FOR HIM;DR. HIBBERT;MOE;BARNEY;SNAKE;page02;08-22ShortQuestionsAboutSpringfield.csv
4;CLUE: "... HE'S A MAN WHOSE|NAME YOU'D LOVE TO TOUCH, BUT|YOU MUSTN'T TOUCH!";DISCO STU;TRENT STEELE;TOM BRADY;MAX POWER;page02;08-22ShortQuestionsAboutSpringfield.csv
2;CLUE: "NUMBER 1";WILLIAM SHATNER;PATRICK STEWART;AVERY BROOKS;SCOTT BAKULA;page02;08-22ShortQuestionsAboutSpringfield.csv
1;CLUE: HOMER'S NFL-OWNED TEAM;DENVER BRONCOS;TAMPA BAY BUCS;DALLAS COWBOYS;ATLANTA FALCONS;page02;08-22ShortQuestionsAboutSpringfield.csv
\\0;\\CLUE: "IF YOU'RE EVER AT THE|WHITE HOUSE, THERE'S A TOOL|SHED OUT BACK. I'M OUT THERE|MOST OF THE DAY!";FORMER PRESIDENT|BILL CLINTON;FORMER PRESIDENT|GEORGE BUSH;FORMER PRESIDENT|JIMMY CARTER;FORMER PRESIDENT|GERALD FORD;page02;08-22ShortQuestionsAboutSpringfield.csv
3;CLUE: "SIDESHOW CECIL";TONY RANDALL;MALCOLM MAC|DOWELL;DAVID HYDE-PIERCE;LIAM NEESON;page02;08-22ShortQuestionsAboutSpringfield.csv
3;CLUE: "HEY LENNY... DON'T YOU|HAVE A CROTCH TO STUFF?;DARRYL STRAWBERRY|TO LENNY DYKSTRA;CARL CARLSON TO|LENNY LENOARD;MICK JAGGER TO|LENNY KRAVITZ;ELVIS COSTELLO TO|LENNY KRAVITZ;page02;08-22ShortQuestionsAboutSpringfield.csv
2;CLUE: HAD THE "SHINNING";TODD FLANDERS;BART SIMPSON;RALPH WIGGUM;THE KID WHO|ALWAYS THROWS UP|ON THE BUS;page02;08-22ShortQuestionsAboutSpringfield.csv
4;CLUE: SELLER OF THE MONORAIL;SERGEANT CREW;LARRY KIDKILL;LLEWELLYN|SINCLAIR;LYLE LANLEY;page02;08-22ShortQuestionsAboutSpringfield.csv
\\0;\\SHOCK THERAPY
1;CLUE: THE BEATLE WHOSE NEVER|VISITED SPRINGFIELD (IN SOME|FASHION);JOHN LENNON;SIR PAUL MC|CARTNEY;GEORGE HARRISON;RINGO STARR;page02;08-22ShortQuestionsAboutSpringfield.csv
//0;//CLUE: HE OUTGREW SPRINGFIELD;APU|NAHASAPEEMAPETITLAN;BLEEDING GUMS|MURPHY;FRANK GRIMES JR.;CONAN O'BRIEN;page02;08-22ShortQuestionsAboutSpringfield.csv
1;CLUE: THE ONLY RESIDENT OF|SPRINGFIELD TO ONLY SPEAK A|SINGLE WORD;MAGGIE;HANS MOLEMAN;OFFICER LOU;SHERRI;page02;08-22ShortQuestionsAboutSpringfield.csv
2;CLUE: LISA'S CLOSET BOYFRIEND;MILHOUSE VAN|HOUTEN;LANGDON ALGER;NELSON MUNTZ;RALPH WIGGUM;page02;08-22ShortQuestionsAboutSpringfield.csv
4;CLUE: THE ROMAN NUMERALS THAT|SAVED BART IN SHELBYVILLE;X;I;V;VII;page02;08-22ShortQuestionsAboutSpringfield.csv
4;CLUE: MORE IMPORTANT AT THE|PLANT THAN HOMER;LENNY;WAYLON SMITHERS;CARL;AN INANIMATE|CARBON ROD;page02;08-22ShortQuestionsAboutSpringfield.csv
4;CLUE: HAS YET TO MAKE IT TO|SPRINGFIELD;RANDY JOHNSON;YAO MING;MAGIC JOHNSON;CHARLES BARKLEY;page02;08-22ShortQuestionsAboutSpringfield.csv
3;CLUE: NAME OF BART'S COMET;SKINNER'S BUTT|COMET;EL BARTO COMET;THE BART SIMPSOM|COMET;THE KRUSTY COMET;page02;08-22ShortQuestionsAboutSpringfield.csv
1;CLUE: COMIC BOOK GUY'S LEAST|FAVORITE SUPERHERO;SUPERMAN;THUNDRA;GHOST RIDER;GREEN LANTERN;page02;08-22ShortQuestionsAboutSpringfield.csv
2;CLUE: SHE PLAYED THE BULLY|"FRANCINE";KATHY NAJIMY;KATHY GRIFFIN;KATHIE LEE|GIFFORD;KATHY BATES;page02;08-22ShortQuestionsAboutSpringfield.csv
3;CLUE: "22 SHORT STORIES..."|WAS BASED ON...?;THE GOODFELLAS;RESERVOIR DOGS;PULP FICTION;THE USUAL|SUSPECTS;page02;08-22ShortQuestionsAboutSpringfield.csv
